Branch,Weather Event,Named Storm,Date of Weather Event,Year,Appropriation,Line Item/SAG,Line Item/SAG title,Details of Expense,Installation,State,Cost,Latitude,Longitude
ANG,Hurricane (Typhoon),Helene,43834,2020,OMNG,132G76,Restoration,"PN 12224127: Replace roofing for 37,600 SF on Readiness Center. Assess and repair damages with scheduling to perform temporary roof repairs. Repair of multiple leaks near roof drains, replacement of components for permanent repair of roof or restored back to 20 year life cycle.",Tallahassee Readiness Center Field Maintenance Shop 13,FL,4717769.0,30.4358,-84.2841
USAR,Hurricane (Typhoon),Helene,43843,2020,OMAR,132,FSRM,Remove Tree and Repair Fence,Lumberton,NC,1618763.0,34.6182,-79.0086
USA,Hurricane (Typhoon),Helene,43844,2020,OMA,132,FSRM,"Sunshine Road #4 Depression in Asphalt 32.275634, -84.873116",Fort Moore,GA,445828.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Helene,43846,2020,OMA,131,Unk,"Labor, OT  and Travel for DAC Deployed to FEGA. ",Fort Novosel,AL,204946.0,31.3378,-85.711
USA,Tropical Storm,Cyclone #8,43847,2020,TWCF,Unk,932,"Repair Interior rail (Tracks 20/21/45A and 46), TWCF infrastructure pepairs to include but not limited to Berms/bldgs/ammo holding pads.  IGE will be provided in FY25 and project repairs will then be seperated by infrastructure.  MISSION ESSENTIAL REPAIRS",Military Ocean Terminal Sunny Point,NC,3327454.0,33.998,-78.034
USA,Hurricane (Typhoon),Helene,43847,2020,OMA,132,FSRM,Facility and Infrastructure Damage still under assessment,Fort Eisenhower,GA,825976.0,33.4166,-82.1637
ANG,Hurricane (Typhoon),Helene,43853,2020,OMNG,132G76,Restoration,Damage to bldgs. at GA's Training Center on their enclave at Fort Stewart. Significant roof damage to approximately 250 of their open bay transient barracks. Each of the bldgs. have shingle roofs and are 20+ years old. ,Georgia Training Center on Fort Stewart,GA,4100983.0,31.8691,-81.6096
USA,Winter Storm,,43854,2020,OMA,132,FSRM,Winter Storm,Fort Riley,KS,184177.0,39.0872,-96.8136
ANG,Hurricane (Typhoon),Milton,43859,2020,OMNG,132G76,Restoration,"Damaged/unsafe trees, Kitchen Roof top, Electrical System Damages, HVAC Damages",Palmetto Readiness Center,FL,2378842.0,27.5214,-82.5723
USAR,Hurricane (Typhoon),Milton,43864,2020,OMAR,132,FSRM,"Repair HVAC, Exterior Storm Water Drainage and Interior Water Damage",Tampa,FL,4171781.0,27.9506,-82.4572
USAR,High Wind,,43866,2020,OMAR,132,FSRM,50' Tree fell through MEP Fenceline,Edgemont,PA,2250638.0,39.949,-75.4416
USA,Hurricane (Typhoon),Helene,43867,2020,OMA,132,FSRM,"Legacy Blvd: Failed Storm Drain and Road Erosion 32.374378, -84.957331",Fort Moore,GA,1281190.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Helene,43871,2020,OMA,132,FSRM,Facility and Infrastructure Damage still under assessment,Fort Eisenhower,GA,1809424.0,33.4166,-82.1637
USA,Hurricane (Typhoon),Milton,43871,2020,NAF,NAF,Unk,Palm BOH (back off house) Mail Room roof leak,Shades of Green Resort,FL,2933542.0,28.4094,-81.5916
USAR,Hurricane (Typhoon),Milton,43875,2020,OMAR,132,FSRM,"Repair Window Leaks, Roof and Interior Water Damages",MacDill Air Force Base,FL,3692727.0,27.8493,-82.5212
USA,Hurricane (Typhoon),Helene,43878,2020,OMA,132,FSRM,"Sunshine Road #4 Depression in Asphalt 32.275634, -84.873116",Fort Moore,GA,253858.0,32.3632,-84.9493
USA,Hurricane (Typhoon),Milton,43878,2020,NAF,NAF,Unk,Palm BOH (back off house) Mail Room roof leak,Shades of Green Resort,FL,2098445.0,28.4094,-81.5916
ANG,Hurricane (Typhoon),Milton,43880,2020,OMNG,132G76,Restoration,Roof Leaks,Mark Lance Readiness Center,FL,802640.0,29.9108,-81.3208
